Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
154,12,54,0.04,0.48,-0.16,1.3393743981690696
1634,31,109,0.04,0.43,-0.27,1.3391551661456746
2430,42,80,0.04,0.42,-0.26,1.3391385294178633
844,21,69,0.04,0.46,-0.26,1.3391381885296143
1099,24,99,0.04,0.45,-0.24,1.3390935667013169
629,18,79,0.04,0.47,-0.24,1.338964434535605
2875,48,75,0.04,0.42,-0.26,1.3389238839611208
2460,42,110,0.04,0.41,-0.3,1.3388888829905863
891,21,116,0.04,0.45,-0.25,1.338608391077209
169,12,69,0.04,0.49,-0.2,1.338485605398379
623,18,73,0.04,0.47,-0.24,1.338443205637082
2650,45,75,0.04,0.42,-0.26,1.3383533522036604
7,10,57,0.04,0.5,-0.15,1.3383427859059305
411,15,86,0.04,0.48,-0.23,1.3381797933240118
1930,35,105,0.04,0.43,-0.26,1.3381790396445168
1931,35,106,0.04,0.43,-0.26,1.3381790396445168
780,20,80,0.04,0.47,-0.23,1.3381709330016403
2431,42,81,0.04,0.42,-0.26,1.3380243046628304
2069,37,94,0.04,0.42,-0.26,1.337993241033911
2171,38,121,0.04,0.41,-0.3,1.3379751503131145
2356,41,81,0.04,0.42,-0.26,1.337939164781949
2795,47,70,0.04,0.42,-0.26,1.3379158474622932
2433,42,83,0.04,0.42,-0.26,1.3377424478497213
260,13,85,0.04,0.49,-0.21,1.3377202127360137
408,15,83,0.04,0.48,-0.23,1.3376121294930285
557,17,82,0.04,0.47,-0.22,1.337465429871205
2058,37,83,0.04,0.42,-0.28,1.337420584650037
1750,33,75,0.04,0.43,-0.3,1.3373222165134393
1986,36,86,0.04,0.42,-0.28,1.3372683641378145
2135,38,85,0.04,0.42,-0.29,1.3372233256846542
1308,27,83,0.04,0.45,-0.25,1.3370657017517398
84,11,59,0.04,0.5,-0.16,1.3369101279543476
1316,27,91,0.04,0.44,-0.27,1.3368141182230289
587,17,112,0.04,0.47,-0.22,1.3367725417675398
600,18,50,0.04,0.46,-0.22,1.3367388829557343
2720,46,70,0.04,0.42,-0.26,1.336630532894801
